Task,Frequency,Responsible Party,State,Status,Regulation Reference
Verify state registrations current,Quarterly,CCO,All registered states,,State Securities Acts
Check registration renewal dates,Monthly,Compliance Officer,All registered states,,State Requirements
Update Form U4 for state changes,As needed,Compliance Officer,Applicable states,,NASAA
File state amendments,Within 30 days,Compliance Officer,Applicable states,,State Securities Acts
Pay state registration fees,Annually,Finance,All registered states,,State Fee Schedules
Verify IAR state registrations,Quarterly,Compliance Officer,All states where IARs work,,State Requirements
Check state CE requirements,Annually,Compliance Officer,All registered states,,State CE Rules
File state financial reports,As required,CFO,States requiring reports,,State Regulations
Update state notice filings,Annually,Compliance Officer,Notice filing states,,State Requirements
Review state advertising rules,Before publication,Compliance Officer,Applicable states,,State Advertising Rules
Verify state bonding requirements,Annually,CFO,States requiring bonds,,State Bonding Rules
Check state custody rules,Quarterly,CCO,States with custody,,State Custody Rules
Review state recordkeeping,Annually,Compliance Officer,All registered states,,State Recordkeeping
Monitor state regulatory changes,Monthly,Compliance Officer,All registered states,,State Notices
