Task,Frequency,Responsible Party,Deadline,Status,Regulation Reference
Complete annual compliance report,Annual,CCO,December 31,,FINRA Rule 3130
Review and update AML program,Annual,AML Officer,December 31,,Bank Secrecy Act
Conduct annual branch inspections,Annual,Principal,December 31,,FINRA Rule 3110
Update business continuity plan,Annual,Compliance Officer,December 31,,FINRA Rule 4370
Review and update WSP manual,Annual,CCO,December 31,,FINRA Rule 3110
File annual financial statements,Annual,CFO,As required,,SEC Rule 17a-5
Conduct annual compliance training,Annual,Compliance Officer,December 31,,FINRA Rule 1240
Review customer account records,Annual,Compliance Officer,December 31,,FINRA Rule 4512
Update Form BD (if changes),As needed,Compliance Officer,Within 30 days,,SEC Form BD
Renew surety bond,Annual,CFO,Policy renewal date,,FINRA Rule 4360
Review employee registrations,Annual,Compliance Officer,December 31,,FINRA Rules
Test business continuity plan,Annual,Operations Manager,December 31,,FINRA Rule 4370
Conduct annual cybersecurity assessment,Annual,IT/Compliance,December 31,,SEC Guidance
Review third-party vendor agreements,Annual,Compliance Officer,December 31,,FINRA Guidance
Update disaster recovery procedures,Annual,IT Manager,December 31,,Best Practice
Conduct annual AML training,Annual,AML Officer,December 31,,Bank Secrecy Act
File Annual SAR Report (if applicable),Annual,AML Officer,April 15,,FinCEN
Review insurance coverage,Annual,CFO,Policy renewal,,Risk Management
Conduct annual financial audit,Annual,External Auditor,As required,,SEC Rule 17a-5
Review conflict of interest policies,Annual,Compliance Officer,December 31,,SEC Guidance
Update privacy policies,Annual,Compliance Officer,December 31,,Reg S-P
Review fee schedules and disclosures,Annual,Compliance Officer,December 31,,FINRA Rule 2121
Assess supervisory system,Annual,CCO,December 31,,FINRA Rule 3110
Review options principal designation,Annual,Compliance Officer,December 31,,FINRA Rule 2360
Update email retention policies,Annual,IT/Compliance,December 31,,FINRA Rule 4511
