Task,Required,Completed,Responsible Party,Document,State Regulation
Complete insurance application,Yes,,Agent,Application Form,State Insurance Code
Obtain applicant signature,Yes,,Agent,Signed Application,State Requirements
Collect initial premium (if applicable),If paid with app,,Agent,Premium Receipt,State Requirements
Conduct needs analysis,Yes,,Agent,Needs Analysis Form,Best Practice
Verify insurable interest,Yes,,Agent,Application,State Insurance Code
Disclose all policy features,Yes,,Agent,Policy Illustration,State Requirements
Provide replacement notice (if replacing),If applicable,,Agent,Replacement Form,State Replacement Rules
Obtain medical history,Yes,,Agent,Medical Questionnaire,Underwriting
Schedule paramedical exam (if needed),If required,,Agent,Exam Appointment,Underwriting
Collect beneficiary information,Yes,,Agent,Beneficiary Designation,State Requirements
Provide important notices,Yes,,Agent,State-Required Notices,State Insurance Code
Verify free look period disclosure,Yes,,Agent,Free Look Notice,State Requirements (10-30 days)
Submit application to underwriting,Yes,,Agent,Complete Application,Company Policy
Follow up on underwriting decision,As needed,,Agent,Underwriting Response,Company Policy
Deliver policy to customer,Upon issue,,Agent,Insurance Policy,State Requirements
Explain policy provisions,Upon delivery,,Agent,Policy Review,Best Practice
Obtain delivery receipt,Recommended,,Agent,Signed Receipt,Best Practice
